review_id,error_related,review_date,review_text,rating,app_link
3503,,3/11/2015, Good Stress Relief make more levels. ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=co.foes.pooffice
3502,,3/3/2015, Very fun and exciting Christmas themed game! More cool characters to unlock with points as you keep playing.. Santa Claus and Elf Rooftop Run is recommended for kids and kids at heart. ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.apptyte.santarooftop.a.free
3501,,3/22/2015," Adventure and action with army commando, sniper, tanks, 3D Medieval environment, wooden houses and green battle field. Amazing and thrilling shooting game. ",Rate two stars out of five stars,https://play.google.com/store/apps/details?id=com.fojigames.foji.commando.sniper.shooting
3500,,3/23/2015, awesome action game love to play it ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.fojigames.foji.commando.sniper.shooting
3499,,3/26/2015, This app is very interesting & addictive.  Very entertaining!! Outstanding Foji Commando Shooting ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.fojigames.foji.commando.sniper.shooting
3498,,3/23/2015, Very good. This is really outstanding app nice concept and great idea. Thanks ,Rated 4.4 stars out of five stars,https://play.google.com/store/apps/details?id=com.fojigames.foji.commando.sniper.shooting
3497,,2/14/2015," It's a fun and addicting hunting game! It is challenging sometimes, but the graphics are cool! Great scenery and new characters and weapons to unlock. ",Rated 3.7 stars out of five stars,https://play.google.com/store/apps/details?id=com.hunterdeer2.tifg.a.free
3496,,3/25/2015, Zooombie ,Rate three stars out of five stars,https://play.google.com/store/apps/details?id=com.junjirafun.zombieshooter
3495,,3/29/2015, Shite ,Rate two stars out of five stars,https://play.google.com/store/apps/details?id=com.junjirafun.zombieshooter
3494,,3/25/2015, Have fun ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.junjirafun.zombieshooter
3493,,3/25/2015," Love this game, it's fun and addictive ",Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.junjirafun.zombieshooter
3492,,3/25/2015, This zombie shooter game is realistic. ,Rated 4.1 stars out of five stars,https://play.google.com/store/apps/details?id=com.junjirafun.zombieshooter
3490,,10/21/2014," Looks nice, good for a lot fun, see if you can make it to endless mode! ",Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=frostboltgames.steampunkshooter
3489,,3/23/2015, lol what is this? ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=jangkoo.shadowfiend.android
3488,,3/20/2015, Too hard ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=jangkoo.shadowfiend.android
3487,,3/6/2015, Can you add CPUs and can you battle players world wide ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.snagsby.duel.android
3486,,3/7/2015, Best multiplayer game I've played here in Google store so far ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.snagsby.duel.android
3485,,3/31/2015, Great shooting gsme ,Rate two stars out of five stars,https://play.google.com/store/apps/details?id=com.srapps.Bloodandcrime.blazingguns
3484,,3/31/2015, Well done good shooting game ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.srapps.Bloodandcrime.blazingguns
3483,,3/19/2015, nice shooting game with excellent graphics and controls ,Rated 4.4 stars out of five stars,https://play.google.com/store/apps/details?id=com.srapps.Bloodandcrime.blazingguns
3482,,4/4/2015, nice game ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3481,,3/27/2015, i liked it ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3480,,3/29/2015, Recommend ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3479,,3/22/2015, Loved the story line ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3478,,4/2/2015," Very addictive game, love it. ",Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3477,,4/1/2015, Need harder levels the game is amazing ,Rated 4.5 stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3476,,3/24/2015, Nice work I liked it ,Delete review.,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3475,,3/22/2015, Love zombie games ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3474,,3/23/2015, Runs great on my tab ,Rate five stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3472,,3/23/2015, Would like to see more difficult levels ,Rate two stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3471,,4/9/2015, The graphics are creepy but really fun ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3470,,3/22/2015," Sluggish controls, ads play longer than levels... ",Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.ufgames.zombiefinalfight
3469,,4/6/2015, Better than plants vs zombies...great graphics and game play ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.watech.plantshootszombies
3468,,3/20/2015, Best plants vs zombies game.love the graphics and unique game play ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.watech.plantshootszombies
3467,,3/11/2015, Good game ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.watech.plantshootszombies
3465,,4/10/2015, really i am in search of it ,Rate three stars out of five stars,https://play.google.com/store/apps/details?id=com.x.balonpatlatma
3462,,4/10/2015, this excellent app. ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.x.balonpatlatma
3461,,4/10/2015, wonderful as like as nature ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.x.balonpatlatma
3460,,4/4/2015, Liked the missions of game ,Rate five stars out of five stars,https://play.google.com/store/apps/details?id=com.xtremegames.commandoforcextreme
3459,,4/4/2015, :) ,Rate four stars out of five stars,https://play.google.com/store/apps/details?id=com.xtremegames.commandoforcextreme
3458,,4/4/2015, Loved it ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.xtremegames.commandoforcextreme
3457,,4/4/2015, I love this game. The weapon collection is awsome. 5 stars. ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.xtremegames.commandoforcextreme
3456,,4/4/2015, Have missions to complete before i last :) ,Rated 4.4 stars out of five stars,https://play.google.com/store/apps/details?id=com.xtremegames.commandoforcextreme
3455,,4/4/2015, This game gives four adds every single round!!!!!!! ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=panda.gravity.doodle.stick.man.kill
3454,,3/16/2015," To much freaking ad,s!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ",Rated 2.4 stars out of five stars,https://play.google.com/store/apps/details?id=panda.gravity.doodle.stick.man.kill
3453,,3/30/2015, Ko ch,Rated 2.6 stars out of five stars,https://play.google.com/store/apps/details?id=vn.sunnet.game.abcxyz
3448,,3/30/2015, I like this game ,Rate five stars out of five stars,https://play.google.com/store/apps/details?id=com.aagstudio.zombiekiller
3447,,4/6/2015, good ,Rate four stars out of five stars,https://play.google.com/store/apps/details?id=com.aagstudio.zombiekiller
3446,,4/6/2015, good ,Rate three stars out of five stars,https://play.google.com/store/apps/details?id=com.aagstudio.zombiekiller
3445,,3/30/2015, Great ,Rate two stars out of five stars,https://play.google.com/store/apps/details?id=com.aagstudio.zombiekiller
3444,,4/5/2015," i like , good game ",Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.aagstudio.zombiekiller
3443,,4/8/2015, good ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.aagstudio.zombiekiller
3442,,3/8/2015, Love it. ,Rated 3.7 stars out of five stars,https://play.google.com/store/apps/details?id=com.AppsessiveMedia.TinyMines
3439,,3/25/2015, Suoerb. Amazing game ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3438,,4/4/2015," The ads are horrible, I can't open Settings and it constantly asks me to select a weapon during a match! Garbage ",Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3436,,3/22/2015, This is really a perfect app. Highly recommended. ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3435,,3/22/2015, this app is awesome. i like it ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3434,,3/21/2015, Amazine war game....and nice features as well ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3433,,3/23/2015, This is very good game. I like it ,Delete review.,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3432,,3/22/2015, Spiner hero death review I love the game ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3431,,3/21/2015, WOOOW . Commando War City Sniper  IS AWSOME GAME ,Rate five stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3430,,3/22/2015, Great game.  amazing gameplay. really enjoyed playing this game. ,Rate four stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3429,,3/22/2015, command war city game is a good and amazing war game loved to played it ,Rate three stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3428,,3/22/2015, command war city  game is a good and amazing war game loved to played it ,Rate two stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3427,,3/22/2015, Nice Game play. Love to play with it. Its Entertaining time Killing Game ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3426,,3/25/2015, very nice game well design clean fast working i love it ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3425,,3/22/2015, Very good game . more features and easy to play I like it ,Rated 4.4 stars out of five stars,https://play.google.com/store/apps/details?id=com.axactplace.commando.war.city.sniper
3424,,4/4/2015, Very very excellent missions..... very very thanks ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3423,,4/4/2015, Fantastic game play and story ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3422,,4/6/2015, Loved it..... very very very very excellent game..... ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3420,,3/18/2015, Endless Action Commando 3D Awesome Graphics and smooth Game Play overall Excellent Game ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3419,,4/5/2015, Good work on this game guys very addictive ,Rate five stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3418,,4/4/2015, love to play this newest game ever ,Rate four stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3417,,4/4/2015, Great Game. I like it ,Rate three stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3416,,4/5/2015, Endless Action Commando has excellent real look ,Rate two stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3415,,4/6/2015, great app. i like it ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3414,,4/4/2015, Endless Action Commando 3D is simply awesome. Time Killing game. ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3413,,4/4/2015, Addictive interface and great Idea. Nice work I realy appreciate it  Thanks ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.endlesscommando.wargames
3412,,2/11/2015, Good ,Rated 4.2 stars out of five stars,https://play.google.com/store/apps/details?id=com.hdprogames.minifalldown3d
3411,,4/4/2015, Pretty cool but no cap. ,Rated 4.1 stars out of five stars,https://play.google.com/store/apps/details?id=com.topgamestudio.captainsoldieramericanhero
3410,,3/17/2015, My 5 year olds kid  loves this game so much. ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=game.brightgeeks.vintageplanefighting
3409,,3/26/2015," This game kept me glued to my phone for hours. After a while of playing star birds galaxy rescue wars i understand why the pet animals are angry! It's a real challenge to fly a spaceship, collect stars, avoid asteroids, and shoot aliens all at once.. it's one heck of a game, it's the total package! ",Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.apptyte.starbirds.a.free
3408,,3/5/2015, Great graphics and effects! Star birds galaxy rescue is a fun and addictive endless shooting game with smooth gameplay.. cant wait to unlock all the cute characters with points earned in the game! ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.apptyte.starbirds.a.free
3407,,3/3/2015, Star birds galaxy rescue wars is super fun and exciting to play! Controls are simple and easy (tap left to control the spaceship and tap right to shoot the enemies) but the levels are challenging and fun.. Lots of different animal characters to choose from with different laser gun weapons. ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.apptyte.starbirds.a.free
3406,,10/4/2014, Fun game. Reminds me of Galaga ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.atech.games.skyjumpfree
3405,,9/22/2014, Pretty simple but challenging game. ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.atech.games.skyjumpfree
3404,,12/9/2014, Werst game evaer once I playd it it wus be so good ,Rated 4.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.atech.games.skyjumpfree
3403,,3/24/2015, A good game ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.Gunplay_Overkill_City
3402,,3/12/2015, Need improvements ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.hunt.snipper.shooting
3401,,3/12/2015, Amazing ,Rated 4.8 stars out of five stars,https://play.google.com/store/apps/details?id=com.hunt.snipper.shooting
3400,,2/22/2015, The game looks great on my tablet. This is a Must have! ,Rated 4.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.KyStudios.STRAIN_Z
3399,,2/10/2015, Nice! Just like the old mario paint! ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.NauruGames.Whacafly
3398,,3/13/2015, nice game!! balabing bujak! ,Rated 3.5 stars out of five stars,https://play.google.com/store/apps/details?id=com.titistudio.gunshipdestroyer
3397,,3/3/2015, Fun action adventure game ,Rate one star out of five stars,https://play.google.com/store/apps/details?id=com.velocity303.ninjagamefree
3396,,3/3/2015, Had fun playing it... It's quite addictive :) ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.velocity303.ninjagamefree
3395,,3/13/2015, I love to play ninja games and this game is awesome. ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.velocity303.ninjagamefree
3394,,3/24/2015, Very challenging and rewarding archery shooting game! ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.berkyworks.dragonarcher
3393,,3/1/2015, Great game for my kid! ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.kondorgames.sillymouse
3392,,2/22/2015, Really nice game to kill time in public transportation ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.kondorgames.sillymouse
3391,,3/20/2015, Awsome ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.mileyapps.supercopdelhidemo
3390,,3/29/2015, This is the best game  i have played so far.. ,Rated 5.0 stars out of five stars,https://play.google.com/store/apps/details?id=com.mileyapps.supercopdelhidemo
3389,,3/25/2015," Pleeese keep working on this. I've been looking for this kind of game, with the 'Syphon Filter' or 'Kill switch' style. I love where its headed...I also have no sound fx, just music...I gave a generous 4stars, keep going... ",Rated 3.8 stars out of five stars,https://play.google.com/store/apps/details?id=com.mts.of.fire
3388,,3/26/2015," Interesting game, good graphic plus perfect handling...love to play :) ",Rated 3.2 stars out of five stars,https://play.google.com/store/apps/details?id=com.ttapps.tank.battlezone.operation
3387,,2/24/2015, Cleanliness is overrated ,Rated 4.0 stars out of five stars,https://play.google.com/store/apps/details?id=net.eyehaveyou.game.poopcannon.android
3386,,1/21/2015, A fun game; don't burn the kitty! ,Rated 4.7 stars out of five stars,https://play.google.com/store/apps/details?id=air.com.mika.kittyFireEscape
